"sensor_id","sensor_model","datetime","temp_c","roof_colour","trap_style","trap_id"
"A4000000103C4153","DS1925",2026-05-06 18:45:20,14,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:50:20,14,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:55:20,13.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:00:20,13.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:05:20,13.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:10:20,13.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:15:20,13.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:20:20,13,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:25:20,13,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:30:20,13,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:35:20,13,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:40:20,12.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:45:20,12.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:50:20,12.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 19:55:20,12.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:00:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:05:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:10:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:15:20,12,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:20:20,11.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:25:20,11.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:30:20,11.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:35:20,11.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:40:20,11,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:45:20,11,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:50:20,11,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 20:55:20,11,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:00:20,11,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:05:20,11,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:10:20,11,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:15:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:20:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:25:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:30:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:35:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:40:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:45:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:50:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 21:55:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:00:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:05:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:10:20,10.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:15:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:20:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:25:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:30:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:35:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:40:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:45:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:50:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 22:55:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:00:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:05:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:10:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:15:20,10,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:20:20,9.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:25:20,9.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 23:30:20,9.5,"t","r","pilot1"
